Ficheiro,Tipo,Entidade
record_Famalicao0120.xml,Pessoa,Comissão Técnica
record_Famalicao0120.xml,Pessoa,Biblioteca Nacional
record_Famalicao0120.xml,Pessoa,Rosa Barbosa
record_Famalicao0120.xml,Pessoa,Vila Nova
record_Famalicao0120.xml,Pessoa,Conselho Internacional
record_Famalicao0120.xml,Pessoa,António José Ferreira Guimarães
record_Famalicao0120.xml,Pessoa,Norma Geral Internacional
record_Famalicao0120.xml,Pessoa,Arquivo Municipal Alberto Sampaio
record_Famalicao0120.xml,Pessoa,Descrição Arquivística
record_Famalicao0120.xml,Pessoa,Arquivos Nacionais
record_Famalicao0120.xml,Data,1999
record_Famalicao0120.xml,Data,8107
record_Famalicao0120.xml,Data,1994
record_Famalicao0120.xml,Data,2006
record_Famalicao0120.xml,Data,1987
record_Famalicao0120.xml,Data,1854
record_Famalicao0120.xml,Data,2025
record_Famalicao0120.xml,Data,2004
record_Famalicao0120.xml,Data,2002
record_Famalicao0120.xml,Data,1864
record_Famalicao0120.xml,Data,2001
record_Famalicao0120.xml,Data,1852
record_Famalicao0120.xml,Data,1995
record_Famalicao0120.xml,Data,2003
record_Famalicao0120.xml,Data,1997
record_Famalicao0120.xml,Lugar,no âmbito
record_Famalicao0120.xml,Lugar,em Arquivo
record_Famalicao0298.xml,Pessoa,Comissão Técnica
record_Famalicao0298.xml,Pessoa,João Machado
record_Famalicao0298.xml,Pessoa,Biblioteca Nacional
record_Famalicao0298.xml,Pessoa,Vila Nova
record_Famalicao0298.xml,Pessoa,Conselho Internacional
record_Famalicao0298.xml,Pessoa,Domingos Ribeiro
record_Famalicao0298.xml,Pessoa,Norma Geral Internacional
record_Famalicao0298.xml,Pessoa,Arquivo Municipal Alberto Sampaio
record_Famalicao0298.xml,Pessoa,Descrição Arquivística
record_Famalicao0298.xml,Pessoa,Arquivos Nacionais
record_Famalicao0298.xml,Data,1999
record_Famalicao0298.xml,Data,8107
record_Famalicao0298.xml,Data,1994
record_Famalicao0298.xml,Data,2006
record_Famalicao0298.xml,Data,1987
record_Famalicao0298.xml,Data,2025
record_Famalicao0298.xml,Data,1832
record_Famalicao0298.xml,Data,2004
record_Famalicao0298.xml,Data,2002
record_Famalicao0298.xml,Data,2001
record_Famalicao0298.xml,Data,1995
record_Famalicao0298.xml,Data,2003
record_Famalicao0298.xml,Data,1997
record_Famalicao0298.xml,Data,1825
record_Famalicao0298.xml,Lugar,no âmbito
record_Famalicao0298.xml,Lugar,na Rua
record_Famalicao0298.xml,Lugar,em Arquivo
record_Famalicao0321.xml,Pessoa,Comissão Técnica
record_Famalicao0321.xml,Pessoa,Biblioteca Nacional
record_Famalicao0321.xml,Pessoa,Vila Nova
record_Famalicao0321.xml,Pessoa,Conselho Internacional
record_Famalicao0321.xml,Pessoa,Norma Geral Internacional
record_Famalicao0321.xml,Pessoa,Arquivo Municipal Alberto Sampaio
record_Famalicao0321.xml,Pessoa,Descrição Arquivística
record_Famalicao0321.xml,Pessoa,Arquivos Nacionais
record_Famalicao0321.xml,Data,1999
record_Famalicao0321.xml,Data,8107
record_Famalicao0321.xml,Data,1994
record_Famalicao0321.xml,Data,2006
record_Famalicao0321.xml,Data,1987
record_Famalicao0321.xml,Data,1851
record_Famalicao0321.xml,Data,2025
record_Famalicao0321.xml,Data,2004
record_Famalicao0321.xml,Data,2002
record_Famalicao0321.xml,Data,1860
record_Famalicao0321.xml,Data,2001
record_Famalicao0321.xml,Data,1995
record_Famalicao0321.xml,Data,2003
record_Famalicao0321.xml,Data,1997
record_Famalicao0321.xml,Lugar,no âmbito
record_Famalicao0321.xml,Lugar,em Arquivo
record_Famalicao0214.xml,Pessoa,Comissão Técnica
record_Famalicao0214.xml,Pessoa,Biblioteca Nacional
record_Famalicao0214.xml,Pessoa,Câmara Municipal
record_Famalicao0214.xml,Pessoa,Vila Nova
record_Famalicao0214.xml,Pessoa,Conselho Internacional
record_Famalicao0214.xml,Pessoa,Norma Geral Internacional
record_Famalicao0214.xml,Pessoa,Arquivo Municipal Alberto Sampaio
record_Famalicao0214.xml,Pessoa,Descrição Arquivística
record_Famalicao0214.xml,Pessoa,Arquivos Nacionais
record_Famalicao0214.xml,Data,1999
record_Famalicao0214.xml,Data,8107
record_Famalicao0214.xml,Data,1994
record_Famalicao0214.xml,Data,2006
record_Famalicao0214.xml,Data,1987
record_Famalicao0214.xml,Data,2025
record_Famalicao0214.xml,Data,2004
record_Famalicao0214.xml,Data,2002
record_Famalicao0214.xml,Data,7654
record_Famalicao0214.xml,Data,2001
record_Famalicao0214.xml,Data,1995
record_Famalicao0214.xml,Data,2003
record_Famalicao0214.xml,Data,1997
record_Famalicao0214.xml,Data,0101
record_Famalicao0214.xml,Lugar,no âmbito
record_Famalicao0214.xml,Lugar,em Arquivo
record_Famalicao0031.xml,Pessoa,Comissão Técnica
record_Famalicao0031.xml,Pessoa,Biblioteca Nacional
record_Famalicao0031.xml,Pessoa,Vila Nova
record_Famalicao0031.xml,Pessoa,Conselho Internacional
record_Famalicao0031.xml,Pessoa,Norma Geral Internacional
record_Famalicao0031.xml,Pessoa,Arquivo Municipal Alberto Sampaio
record_Famalicao0031.xml,Pessoa,Descrição Arquivística
record_Famalicao0031.xml,Pessoa,Arquivos Nacionais
record_Famalicao0031.xml,Data,1940
record_Famalicao0031.xml,Data,1999
record_Famalicao0031.xml,Data,8107
record_Famalicao0031.xml,Data,1897
record_Famalicao0031.xml,Data,1994
record_Famalicao0031.xml,Data,2006
record_Famalicao0031.xml,Data,1987
record_Famalicao0031.xml,Data,2025
record_Famalicao0031.xml,Data,2004
record_Famalicao0031.xml,Data,2002
record_Famalicao0031.xml,Data,2001
record_Famalicao0031.xml,Data,1995
record_Famalicao0031.xml,Data,2003
record_Famalicao0031.xml,Data,1997
record_Famalicao0031.xml,Lugar,no âmbito
record_Famalicao0031.xml,Lugar,em Arquivo
record_Famalicao0499.xml,Pessoa,Código Administrativo
record_Famalicao0499.xml,Pessoa,Comissão Técnica
record_Famalicao0499.xml,Pessoa,Biblioteca Nacional
record_Famalicao0499.xml,Pessoa,Vila Nova
record_Famalicao0499.xml,Pessoa,Conselho Internacional
record_Famalicao0499.xml,Pessoa,Norma Geral Internacional
record_Famalicao0499.xml,Pessoa,Arquivo Municipal Alberto Sampaio
record_Famalicao0499.xml,Pessoa,Descrição Arquivística
record_Famalicao0499.xml,Pessoa,Arquivos Nacionais
record_Famalicao0499.xml,Data,1999
record_Famalicao0499.xml,Data,8107
record_Famalicao0499.xml,Data,1955
record_Famalicao0499.xml,Data,0014
record_Famalicao0499.xml,Data,1994
record_Famalicao0499.xml,Data,2006
record_Famalicao0499.xml,Data,1987
record_Famalicao0499.xml,Data,1951
record_Famalicao0499.xml,Data,1435
record_Famalicao0499.xml,Data,2025
record_Famalicao0499.xml,Data,2004
record_Famalicao0499.xml,Data,2002
record_Famalicao0499.xml,Data,1956
record_Famalicao0499.xml,Data,2001
record_Famalicao0499.xml,Data,2173
record_Famalicao0499.xml,Data,1995
record_Famalicao0499.xml,Data,2003
record_Famalicao0499.xml,Data,1997
record_Famalicao0499.xml,Lugar,no âmbito
record_Famalicao0499.xml,Lugar,em Arquivo
record_Famalicao0218.xml,Pessoa,Comissão Técnica
